filename,report_number,commodity,type,heading_sequence
M-252-2025 NGK Trading Apple Container No. EMCU5629586.pdf,M-252-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-254-2025 Royalasia Marketing Apple Container No. SILU7001054.pdf,M-254-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-255-2025 Reliance Retail Apple Container No. TEMU9239603.pdf,M-255-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-256-2025 Reliance Retail Apple Container No. CGMU9380347.pdf,M-256-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-258-2025 NGK Trading Apple Container No. EGSU5063501.pdf,M-258-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-262-2025 Reliance Retail Ltd Apple Container No. CGMU9331316.pdf,M-262-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-263-2025 Archana Enterprises Apple Container No. CXRU1582745.pdf,M-263-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-269-2025 Reliance Retail (Domex Superfresh) Apple Container No. EMCU5591731.pdf,M-269-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-27-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. SEGU9997438.pdf,M-27-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-270-2025 NGK Trading Apple & Pear Container No. INBU3865207.pdf,M-270-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-271-2025 NGK Trading Apple Container No. INBU4639267.pdf,M-271-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-272-2025 NGK Trading Apple Container No. INBU9158916.pdf,M-272-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-273-2025 NGK Trading Apple Container No. MNBU0211326.pdf,M-273-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-274-2025 NGK Trading Apple Container No. CGMU9335266.pdf,M-274-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-275-2025 NGK Trading Apple Contaier No. MNBU4669934.pdf,M-275-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-28-2025 Gajumal Mulchand - Apple Container No. CGMU6914921 - Revised.pdf,M-28-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-28-2026 NGK Trading (TYT Export S.A) Apple Container No. SEKU9078322.pdf,M-28-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-29-2026 NGK Trading (TYT Export S.A) Apple Container No. SEKU9111462.pdf,M-29-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf,M-31-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-35-2026 Reliance Retail (SOC. Agr. Coop. Lagnasco Group) Apple Container No. TLLU1107113.pdf,M-35-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY FINDINGS IN GRAPH → SURVEY PHOTOGRAPHS:
M-36-2026 NGK Trading (Apot Societa Cooperativa Agricola) Apple Container No. TEMU9685328.pdf,M-36-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-37-2026 NGK Trading (Apot Societa Cooperativa Agricola) Apple Container No. HMMU5443871.pdf,M-37-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-38-2025 Reliance Retails Apple - Container No. MNBU4113009.pdf,M-38-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-38-2026 Anusaya Fresh (Agropecuaria Schio Ltda) Apple Container No. TRIU8896998 (Kolkatta).pdf,M-38-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-39-2025 NGK Trading - Apple Container No. EMCU5685888.pdf,M-39-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-39-2026 Reliance Retails (VOG SOC. Agricola Coop) Apple Container No. CGMU5503607.pdf,M-39-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-40-2026 Archana Enterprise (Southern Fruit Trading (Pty) Ltd) Apple Container No SZLU9282295.pdf,M-40-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-41-2025 Reliance Retails Ltd - Apple Container No. EMCU5638443 - 1st Addendum Report.pdf,M-41-2025,APPLE,SURVEY,PARTICULARS → SURVEY PHOTOGRAPHS:
M-41-2025 Reliance Retails Ltd - Apple Container No. EMCU5638443.pdf,M-41-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf,M-43-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF PEAR AND APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-44-2025 NGK Trading - Apple Container No. FSCU5316900.pdf,M-44-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
