filename,row_preview,computed_total,stated_total,difference
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate Apple RYL Gala Bites Imp Safri 1pc | 165 | 168,166,168,2
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf, |  | Curate Apple RYL Gala Bites Imp Safri 1pc | 165 | 56,165,56,109
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 1. |  |  | 175 | ,197.35,18.95,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 2. |  |  | 175 | ,197.45,19.05,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 3. |  |  | 175 | ,197.55,19.15,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 4. |  |  | 175 | ,197.9,19.5,178.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 5. |  |  | 175 | ,197.2,18.8,178.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 6. |  |  | 175 | ,197.45,19.05,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 7. |  |  | 175 | ,197.6,19.2,178.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 8. |  |  | 175 | ,197.45,19.05,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 9. |  |  | 175 | ,197.55,19.15,178.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 10. |  |  | 175 | ,197.3,18.9,178.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 11. |  |  | 163 | ,185.9,19.5,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 12. |  |  | 163 | ,185.7,19.3,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 13. |  |  | 163 | ,185.7,19.3,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 14. |  |  | 163 | ,185.7,19.3,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 15. |  |  | 163 | ,185.85,19.45,166.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 16. |  |  | 163 | ,185.85,19.45,166.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 17. |  |  | 163 | ,185.7,19.3,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 18. |  |  | 163 | ,185.9,19.5,166.4
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 19. |  |  | 163 | ,185.85,19.45,166.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | 20. |  |  | 163 | ,185.75,19.35,166.40
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf, | Total 20 Boxes |  |  |  | ,452.7,384.7,68.0
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 1. |  |  | 175 | ,197.25,18.85,178.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 2. |  |  | 175 | ,197.8,19.4,178.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 3. |  |  | 175 | ,197.55,19.15,178.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 4. |  |  | 175 | ,197.4,19,178.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 5. |  |  | 175 | ,197.55,19.15,178.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 6. |  |  | 175 | ,197.45,19.05,178.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 7. |  |  | 175 | ,197.6,19.2,178.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 8. |  |  | 163 | ,185.65,19.25,166.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 9. |  |  | 163 | ,185.65,19.25,166.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 10. |  |  | 163 | ,185.75,19.35,166.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 11. |  |  | 163 | ,185.9,19.5,166.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 12. |  |  | 163 | ,185.95,19.55,166.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 13. |  |  | 163 | ,185.8,19.4,166.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 14. |  |  | 163 | ,185.95,19.55,166.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 15. |  |  | 198 | ,221.4,20,201.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 16. |  |  | 198 | ,221.5,20.1,201.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 17. |  |  | 198 | ,221.35,19.95,201.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 18. |  |  | 198 | ,221.3,19.9,201.4
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 19. |  |  | 198 | ,220.75,19.35,201.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 20. |  |  | 198 | ,221.45,20.05,201.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | 21. |  |  | 198 | ,221.35,19.95,201.40
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf, | Total 21 Boxes |  |  |  | ,480.35,408.95,71.40
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf, |  | Kfruit Kfruit/RD8 CN Royal Gala (Tenroy) | 080 PG | 2,80,2,78
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf, |  | Kfruit Kfruit/RD8 CN Royal Gala (Tenroy) | 090 PG | 1,90,1,89
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf, |  | Kfruit Kfruit/RD8 CN Royal Gala (Tenroy) | 100 PG | 45,100,45,55
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf, |  | Kfruit Kfruit/RD8 CN Royal Gala (Tenroy) | 110 PG | 8,110,8,102
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | (120 |  |  | (135 | ,990,165,825
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | 2 pieces |  |  | 2 pieces | ,16,2,14
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | with 4 |  |  | with 4 | ,32,4,28
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | 15.59 |  |  | 15.82 | ,117.50,13.01,104.49
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | 17.03 |  |  | 15.70 | ,121.11,15.09,106.02
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | 16.91 |  |  | 14.29 | ,125.74,12.47,113.27
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf, | 16.40 |  |  | 15.63 | ,125.75,14.37,111.38
M-61-2026 Archana Enterprises (Snazzy Fruit Company Ltd) Apple # GESU9549296.pdf, |  | Generic Z Pack Roxy™ Harley 02 | 80 | 224,82,224,142
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014860 | 110 | 56,110,56,54
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf, |  | Royal Gala / 590014861 | 120 | 179,120,179,59
