commodity,defect_category,frequency,sample_header
APRICOT,Rotten Peaches,1,Rotten Peaches (Pcs)
AVOCADO,Soft/Over-Ripped,1,Soft/over-ripped
AVOCADO,Black & Rotten,1,Black & Rotten
AVOCADO,Soft-Ripped /,1,Soft-Ripped /
BLUEBERRY,Sound Cargo In Punnet,1,Sound cargo in Punnet (Pcs)
BLUEBERRY,Soft Cargo In Punnet,1,Soft cargo in Punnet (Pcs)
BLUEBERRY,Rotten / Fungus Cargo In Punnet,1,Rotten / Fungus cargo in Punnet (Pcs)
BLUEBERRY,Found Net Weight Of Rotten/Fungus Berries,1,Found net weight of Rotten/Fungus Berries (Kg)
BLUEBERRY,Found Net Weight Of Rotten Cargo,1,Found net weight of Rotten cargo (Kg)
BLUEBERRY,Found Net Weight Of Fungus/Rotten Cargo,1,Found net weight of Fungus/Rotten cargo (Kg)
BLUEBERRY,Sound Cargo,1,sound cargo
BLUEBERRY,Fungus/Rotten Cargo,1,Fungus/Rotten cargo
BLUEBERRY,Fungus / Rotten,1,Fungus / Rotten
BLUEBERRY,Shrivelled,1,Shrivelled
BLUEBERRY,Of Sound Berries,1,of sound berries
BLUEBERRY,Of Soft Berries,1,of soft berries
BLUEBERRY,Of Rotten Berries,1,of Rotten Berries
BLUEBERRY,Sound Berries,1,sound berries
BLUEBERRY,Rotten Berries,1,Rotten Berries
BLUEBERRY,Sound Blueberry,1,Sound Blueberry (Kg)
BLUEBERRY,Soft Blueberry,1,Soft Blueberry (Kg)
BLUEBERRY,Rotten Blueberry,1,Rotten Blueberry (Kg)
CHERRY,Fungus / Rotten Cherries,1,Fungus / Rotten Cherries (Pcs)
DRAGON,Soft With Yellow,1,Soft with Yellow (Pcs)
DRAGON,Sound (31 Pcs),1,Sound (31 Pcs)
DRAGON,Shriveled (154 Pcs),1,Shriveled (154 Pcs)
DRAGON,Soft (4 Pcs),1,Soft (4 Pcs)
DRAGON,Russet,1,Russet
DRAGON,Rotten / Fungus,1,Rotten / Fungus (Pcs)
GRAPE,Sound Pcs,1,Sound Pcs
KIWI,Sound Pulp,1,Sound Pulp
KIWI,Pitting,1,Pitting
KIWI,"Pale Yellow In Colour. A Strong Foul Odor, Unpleasant Smell Was Noticed In All The Soft Kiwi",1,"pale yellow in colour. A strong foul odor, unpleasant smell was noticed in all the soft kiwi"
KIWI,Fruits. It Is A Clear Indicator That The Soft Kiwi Is No Longer Good And Not Fit For The Human,1,fruits. It is a clear indicator that the soft kiwi is no longer good and not fit for the human
KIWI,Soft / Foul Odor,1,Soft / Foul odor
KIWI,"Foul Odor: A Strong, Unpleasant Smell Of The Soft Kiwi Fruits Is A Clear Indicator That The Kiwi Is",1,"Foul odor: A strong, unpleasant smell of the soft kiwi fruits is a clear indicator that the kiwi is"
KIWI,Minor Skin Defects,1,Minor Skin Defects (Pcs)
KIWI,"Rotten, Mold",1,"Rotten, Mold (Pcs)"
KIWI,"Russet, Sun-",1,"Russet, Sun-"
KIWI,"Rotten,",1,"Rotten,"
MANDARIN,Pressure Damaged,1,Pressure Damaged (Pcs)
MANDARIN,Skin Defects / Russet,1,Skin Defects / Russet (Pcs)
MANDARIN,Russet / Skin Defects,1,Russet / Skin Defects (Pcs)
ORANGE,Pressure Damaged,1,Pressure Damaged (Pcs)
ORANGE,"Marine Cargo Agencies Private Limited Final Survey Report No. M-257-2025 Sound Condition. Hence, We Were Contacted And Formally Requested To Undertake An Independent Survey. Paragraph 2.1: Our Survey: The Consignees’ Representative Mr. Rohan Mane, Produced Before Us The 1,944 Boxes Under 3 Counts Containing (Orange 864 Boxes) & (Mandarin Fruits 1,080 Boxes) On Various Pallets For Our Survey, Stored Inside The Cold Room No. 2. The Cold Room Display Temperature Was Found Maintained At 5.7°C. (See Photos 1 To 10) The Pulp Temperature Of The Fresh Orange & Mandarin Fruits Fruits Was Checked By Means Of A Digital Thermometer Inside The Cold Room And Was Found In The Range Of 3.6°C To 4.0°C. (See Photos 11 & 12) Thereafter, A Total Of 18 Boxes Under 3 Counts Were Randomly Selected From Various Pallets / Different Locations Inside The Cold Room And Were Opened For Our Detailed Survey, When We Found The Orange & Mandarin Fruits Inside The Boxes With Mixture Of Sound, Less Colour, Silver Scurf, Oil Spot, Rough Skin, Puffed Soft, Mechanical Injury (Pitting), Green Patch, Rotten Spot, Soft-Pressed, And In A Rotten Condition In Varying Degrees. (See Photos 13 To 18) • Upon Cutting The Puff / Soft /Pressed Fruits, The Pulp Was Found Detached From The Albedo. (See Photos 19 To 21) • Sugar Brix Was Checked And Was Found In The Range Of 10.20% To 13.30%. (See Photos 22 & 23) Based On Our Survey Findings, Upon Segregation Of Orange & Mandarin Fruits From The 18 Cardboard Boxes, We Can Conclude That The Fruits Were Found With The Following Defects: (See Photos 24 To )",1,"MARINE CARGO AGENCIES PRIVATE LIMITED FINAL SURVEY REPORT NO. M-257-2025 sound condition. Hence, we were contacted and formally requested to undertake an independent survey. PARAGRAPH 2.1: OUR SURVEY: The consignees’ representative Mr. Rohan Mane, produced before us the 1,944 boxes under 3 counts containing (orange 864 Boxes) & (mandarin fruits 1,080 boxes) on various pallets for our survey, stored inside the cold room no. 2. The cold room display temperature was found maintained at 5.7°C. (See Photos 1 to 10) The pulp temperature of the fresh orange & mandarin fruits fruits was checked by means of a digital thermometer inside the cold room and was found in the range of 3.6°C to 4.0°C. (See Photos 11 & 12) Thereafter, a total of 18 Boxes under 3 counts were randomly selected from various pallets / different locations inside the cold room and were opened for our detailed survey, when we found the Orange & Mandarin fruits inside the boxes with mixture of sound, less colour, silver scurf, oil spot, rough skin, puffed soft, mechanical injury (Pitting), green patch, rotten spot, soft-pressed, and in a rotten condition in varying degrees. (See Photos 13 to 18) • Upon cutting the puff / soft /pressed fruits, the pulp was found detached from the albedo. (See Photos 19 to 21) • Sugar brix was checked and was found in the range of 10.20% to 13.30%. (See Photos 22 & 23) Based on our survey findings, upon segregation of Orange & Mandarin fruits from the 18 cardboard boxes, we can conclude that the fruits were found with the following defects: (See Photos 24 to )"
ORANGE,Puffed / Soft Fruits,1,Puffed / Soft Fruits (Pcs)
ORANGE,Mechanical Injury / Pitting,1,Mechanical Injury / Pitting (Pcs)
ORANGE,Soft / Pressed,1,Soft / Pressed (Pcs)
ORANGE,Soft Pcs),1,Soft Pcs)
ORANGE,Major Soft,1,Major Soft (Pcs)
ORANGE,Minor Soft,1,Minor Soft (Pcs)
ORANGE,"Rotten, Fungus, Boiled And Dis-Coloured",1,"Rotten, fungus, boiled and dis-coloured (Pcs)"
PEAR,Scab,1,Scab
PEAR,Rotten /,1,Rotten /
PEAR,Soft,1,Soft (Pcs)
PEAR,Scald Bruised Marks,1,Scald Bruised Marks (Pcs)
PEAR,Skin Defects,1,Skin Defects (Pcs)
PEAR,Scald,1,Scald (Pcs)
PEAR,Rotten Spots,1,Rotten Spots (Pcs)
PEAR,Bruised Marks,1,Bruised Marks (Pcs)
PEAR,Russet / Skin,1,Russet / Skin
PEAR,Sunburn,1,SUNBURN
PEAR,Damage,1,Damage
PLUM,Found Net Weight Of Sound Cargo,1,Found net weight of sound cargo (Kg)
PLUM,Found Net Weight Of Russet Cargo,1,Found net weight of Russet cargo (Kg)
PLUM,Sound Fruits,1,Sound Fruits (Pcs)
PLUM,Severely Soft Fruits,1,Severely Soft Fruits (Pcs)
PLUM,Rotten/Fungus Fruits,1,Rotten/Fungus Fruits (Pcs)
PLUM,Cracked,1,Cracked
PLUM,Sound Qty.,1,Sound Qty. (Pcs)
PLUM,Soft Qty.,1,soft Qty. (Pcs)
PLUM,Rotten Qty.,1,Rotten Qty. (Pcs)
