filename,report_number,type,family,commodity,client,container_count,photo_count,page_count,date,content_hash
M-39-2025 NGK Trading - Apple Container No. EMCU5685888.pdf,M-39-2025,SURVEY,SURVEY_REPORT,APPLE,A-340 New Subzi Mandi Azadpur,1,19,11,14 April 2025,30efc25eb766af20
M-39-2026 Reliance Retails (VOG SOC. Agricola Coop) Apple Container No. CGMU5503607.pdf,M-39-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,176,29,11 March 2026,7540bc91f0ede882
M-40-2026 Archana Enterprise (Southern Fruit Trading (Pty) Ltd) Apple Container No SZLU9282295.pdf,M-40-2026,SURVEY,SURVEY_REPORT,APPLE,Archana Enterprises,1,144,25,08/03/2026,b4127d94e96e13da
M-41-2025 Reliance Retails Ltd - Apple Container No. EMCU5638443 - 1st Addendum Report.pdf,M-41-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,101,7,26 April 2025,41a86ba349d31fdf
M-41-2025 Reliance Retails Ltd - Apple Container No. EMCU5638443.pdf,M-41-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,25,11,26 April 2025,5e479042993f0fe2
M-43-2026 Reliance Retail Ltd (Core fruit (PTY) Ltd) Apple & Pear Container No. HLBU9066390.pdf,M-43-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,192,32,6 April 2026,ed02eb19002455c3
M-44-2025 NGK Trading - Apple Container No. FSCU5316900.pdf,M-44-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,34,9,28/04/2025,20537fd52c30f9de
M-45-2026 Hari Agro Products (Nargo Industries USA Inc) Apple Container No. ONEU9019596.pdf,M-45-2026,SURVEY,SURVEY_REPORT,APPLE,Hari Agro Products,1,138,24,21 March 2026,5559b177e0340253
M-47-2026 ASRA Enterprises (Fruit Family SP. Z O.O.) Apple Container Nos. HLBU9822040 & UAEU1265930.pdf,M-47-2026,SURVEY,SURVEY_REPORT,APPLE,Asra Enterprises,2,230,40,30 March 2026,07b0e777cb22ef9c
M-48-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container Nos. MNBU3003250 & MNBU3890344.pdf,M-48-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,2,232,39,12 April 2026,000cdc5d0b106b0f
M-49-2025 NGK Trading - Granny Apple Container No. EMCU5682488.pdf,M-49-2025,SURVEY,SURVEY_REPORT,APPLE,A-340 New Subzi Mandi Azadpur,1,16,9,12 May 2025,898e853b83571601
M-53-2025 Reliance Retails Ltd - Apple Container No. MSDU9881900.pdf,M-53-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,28,11,14 April 2025,aba37c3d755588fa
M-54-2025 NGK Trading - Apple Container No. CRXU1633816.pdf,M-54-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,89,11,23/04/2025,c6d292d1a43178e2
M-55-2025 NGK Trading - Apple Container No. FBIU5467300.pdf,M-55-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,96,11,23/04/2025,f143f1e8acce8c26
M-55-2026 Reliance Retail Ltd (Exportadora San Clemente S.A) Apple Container No. HLBU94453.pdf,M-55-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,176,30,28 March 2026,1157089bcd9cd0c3
M-56-2025 Gajumal Mulchand - Apple Container No. FBIU5409807.pdf,M-56-2025,SURVEY,SURVEY_REPORT,APPLE,Gajumal Mulchand,2,126,17,,09e311144d338d00
M-57-2025 Reliance Retail Ltd - Apple Container No. FBIU5147179.pdf,M-57-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,46,13,29 April 2025,15a84a27a0aa375e
M-57-2026 Reliance Retails Ltd (Fruitways Marketing (PTY) Ltd) Apple Container No. MNBU4637860.pdf,M-57-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,136,25,21 April 2026,108a473274fe8e2a
M-58-2026 Fresh Fruit Alliances Apple # FBIU5195670 & TTNU8739314.pdf,M-58-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,2,226,37,14 March 2026,fd7a54019c46ca76
M-59-2026 Fresh Fruit Alliances Apple # CXRU1264528 & CXRU1132619.pdf,M-59-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,2,222,37,14 March 2026,9e3aec02cc803130
M-60-2026 NGK Trading (TYT Export S.A.) Apple Container No. SEKU9109660.pdf,M-60-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,150,27,22 March 2026,3a4041902d61641f
M-61-2025 Reliance Retail Ltd - Apple Container No. UACU4766060.pdf,M-61-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,25,11,16 May 2025,81322e1018c9b9e0
M-61-2026 Archana Enterprises (Snazzy Fruit Company Ltd) Apple # GESU9549296.pdf,M-61-2026,SURVEY,SURVEY_REPORT,APPLE,Archana Enterprises,1,126,22,27 April 2026,44de208e2b0371e0
M-62-2026 Reliance Retail Ltd (Core Fruit Pty.Ltd) Apple Container No. CAAU4049163.pdf,M-62-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,220,36,12 April 2026,efa6fc824f4a44c6
M-64-2025 Fresh Fruit Alliances - Apple Container No. SEGU9441670.pdf,M-64-2025,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,1,30,15,23 May 2025,b7f3592e08b522aa
M-64-2026 NGK Trading (Exportadora Rio Miapo SPA) Apple Container No. ONE9129823.pdf,M-64-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,70,16,3 April 2026,4b6c053e77fb19e0
M-65-2025 Fresh Fruit Alliances - Apple Container Nos. TEMU9470206 & TCLU1102957.pdf,M-65-2025,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,2,130,24,18 July 2025,efcafb9d0429f7ea
M-65-2026 NGK Trading (Exportadora Rio Miapo SPA) Apple Container No. ONE9148628.pdf,M-65-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,134,25,3 April 2026,0041cc5e76e62d84
"M-67-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. CXRU1556556.pdf",M-67-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,188,31,19 April 2026,1fc5cf6a966bdcd2
"M-69-2026 Reliance Retail Ltd (Vog Soc Agricola Coop, Italy) Apple Container No. FBIU5747506.pdf",M-69-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,184,30,28 April 2026,fce3ddeeacbc136c
M-71-2025 Anusaya Fresh - Granny Apple Container No. MNBU3189289.pdf,M-71-2025,SURVEY,SURVEY_REPORT,APPLE,Anusaya Fresh India Pvt.Ltd,1,26,15,30 July 2025,559ee5559c4f94dd
M-72-2025 Anusaya Fresh - Granny Apple Container No. MNBU3589618.pdf,M-72-2025,SURVEY,SURVEY_REPORT,APPLE,Anusaya Fresh India Pvt.Ltd,1,22,14,30 July 2025,18a6b873210d1162
M-72-2026 Reliance Retail Ltd (Delta Agrar Serbia ) Apple Container No. CGMU5083063 Taloja.pdf,M-72-2026,SURVEY,SURVEY_REPORT,APPLE,5 TTC Industrial area,1,172,29,28 March 2026,8c685f69e7e05fad
M-73-2025 Reliance Retail Ltd - Apple Container No. EMCU5555863.pdf,M-73-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,34,15,15 June 2025,51c34e74e3c83b54
M-76-2026 Vande Fresh (Harvest SPA) Apple Container No. PCLU6145125.pdf,M-76-2026,SURVEY,SURVEY_REPORT,APPLE,Vande Fresh,1,160,28,18 March 2026,ebf39f77012322bf
M-77-2026 Reliance Retail Ltd (Domex Superfresh Growers LLC) Apple # EMCU5663873 1st Addendum.pdf,M-77-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,216,12,19 April 2026,8a56a6f96496ac9a
